filename	prompt	timestamp	sample_rate	bit_depth
recording_20250707_235503.wav	ခင်ဗျား က ရင်ဘတ် အောင့် ပြီး ဆေးရုံ ရောက် လာ တဲ့ အသက် ၅၅ အရွယ် ရှိ တဲ့ လူကြီး မာစတာ စမစ် ဖြစ် တယ် ။	20250707_235503	16000	16
recording_20250707_235519.wav	ခင်ဗျား ရင်ဘတ် ဘယ်ဘက် က အောင့် ပြီး အဲဒါ က လည်ပင်း နှင့် ဘယ်ဘက် လက်မောင်း ကို ပျံ့ သွား တယ် ။	20250707_235519	16000	16
recording_20250707_235533.wav	နာကျင် မှု က ခင်ဗျား ကို ဖျားနာ စေ တယ် ဒါပေမဲ့ ခင်ဗျား မ အန် ခဲ့ ဘူး ။	20250707_235533	16000	16
recording_20250707_235545.wav	ခင်ဗျား ရဲ့ လက်ဖဝါး တွေ ချွေးထွက် တာ ကို ခင်ဗျား တွေ့ကြုံ နေ ရ တယ် ။	20250707_235545	16000	16
recording_20250707_235558.wav	ခင်ဗျား ရဲ့ အကို မှာ လွန် ခဲ့ တဲ့ ၃ နှစ် အသက် ၄၇ လောက် က နှလုံး ရောဂါ ရှိ ခဲ့ တယ် ။	20250707_235558	16000	16
recording_20250707_235613.wav	ခင်ဗျား က ဘာ ဆေး မှ မ သောက် ရ ဘူး ပြီးတော့ ဓာတ်မတည့် မှု မ ရှိ ဘူး ။	20250707_235613	16000	16
recording_20250707_235613.wav	ခင်ဗျား က ညာဘက် ရင်ဘတ် အောင့် ပြီး ဆေးရုံ ကို ရောက် လာ တဲ့ အသက် ၃၀ အရွယ် ရှိ တဲ့ လူကြီး မာစတာ ဂျုံး ဖြစ် တယ် ။	20250707_235613	16000	16
recording_20250707_235627.wav	ခင်ဗျား က ပြီး ခဲ့ တဲ့ ၂ ရက် လောက် ကြာ အပူချိန် တက် နေ ခဲ့ တယ် ။	20250707_235627	16000	16
recording_20250707_235729.wav	နှလုံး ကြွက်သား များ အောက်ဆီဂျင် မ ရ နိုင် သဖြင့် သေဆုံး ခြင်း ( ရင်ဘတ် အလယ် ကနေ နာကျင် မှု က ဘယ်ဘက် လက်မောင်း ဒါမှမဟုတ် လည်ချောင်း ဆီသို့ ပျံ့နှံ့ သွား ခြင်း ၊ ကြာချိန် > ၂၀ မိနစ် ၊ ပျို့အန် ချင် စိတ် ဖြစ် ခြင်း ၊ လက်ဖဝါး ချွေးထွက် ခြင်း ၊ သက်လတ် ပိုင်း ဒါမှမဟုတ် သက်ကြီး ပိုင်း လူနာ )	20250707_235729	16000	16
recording_20250707_235757.wav	နှလုံးသွေးကြော ကျဉ်းပိတ် သဖြင့် ရင်ဘတ် နာ ခြင်း ( ရင်ဘတ် နာ ခြင်း က ၂၀ မိနစ် အောက် ကြာ တယ် ၊ အမ်အိုင် မှ ခွဲခြား ဖို့ ခက်ခဲ လိမ့် မယ် ။ )	20250707_235757	16000	16
recording_20250707_235818.wav	ရင်ခေါင်း ပိုင်း သွေးလွှတ်ကြော အတွင်း ပိတ်ဆို့ မှု ကြောင့် သွေး စီးဆင်း မှု နည်း သွား ခြင်း ( ရင်ဘတ် နာကျင် မှု မှ ကျောကုန်း ဆီသို့ ပျံ့နှံ့ သွား ခြင်း )	20250707_235818	16000	16
recording_20250707_235850.wav	အဆုတ် ထဲ ရှိ သွေးကြော များ တွင် သွေးခဲ ပိတ်ဆို့ ခြင်း ( ချောင်းဆိုး ရာတွင် သွေး ပါ ခြင်း ၊ ရင်ဘတ် နာ ခြင်း ၊ အသက်ရှူ မ ဝ ခြင်း ၊ အန္တရာယ် များ သော အချက် များ ဥပမာ - လေယာဉ် အကြာကြီး စီး ခြင်း ၊ ခွဲစိတ် ပြီးနောက် ဖြစ် သော ၊ မ လှုပ်ရှား နိုင် ခြင်း )	20250707_235850	16000	16
recording_20250707_235915.wav	နှလုံးဖုံးမြှေး ရောင် ခြင်း ( အသက်ရှူ လိုက် တိုင်း ရင်ဘတ် စူး ပြီး အောင့် ခြင်း ၊ ရှေ့ ကို မှီ လိုက် ရင် သက်သာ တယ် ၊ အဖျား ငွေ့ငွေ့ ရှိ ခြင်း )	20250707_235915	16000	16
