filename	prompt	timestamp	sample_rate	bit_depth
recording_20250621_190851.wav	ကံမကောင်းစွာ ဘဲ ၊ ဒီ ရောဂါလက္ခဏာ တွေ က ကင်ဆာ ဖြစ်စေ နိုင် တဲ့ အရာ တွေ ထဲက တစ်ခု ဖြစ် တယ် ။ ဒါပေမဲ့ ကျွန်တော် ပြော ခဲ့ သလိုပဲ ရောဂါလက္ခဏာ ဆင်တူ တာ ဖြစ်ကောင်း ဖြစ် နိုင် တဲ့ အခြားသော အကြောင်းအရာ တွေ လည်း ရှိ ပါ သေး တယ် ။	20250621_190851	16000	16
recording_20250621_190921.wav	ကျွန်တော် မှာ ဆီးချို ရှိ နေ တာ တကယ် လား ၊ ဒေါက်တာ ။	20250621_190921	16000	16
recording_20250621_191007.wav	ဟုတ် ပါ တယ် ခင်ဗျား မှာ ဆီးချို ရှိ နေ တယ် ။	20250621_191007	16000	16
recording_20250621_191031.wav	ကံမကောင်းစွာ ဘဲ ၊ စစ်ဆေး ခဲ့ ပြီးသော ရလဒ် တွေ က ခင်ဗျား မှာ ဆီးချို ရှိ ကြောင်း ပြ နေ တယ် ။	20250621_191031	16000	16
recording_20250621_191126.wav	ကျွန်တော် စိတ်မကောင်း ပါ ဘူး ဒါပေမဲ့ ဒါ တွေ က ခင်ဗျား ရဲ့ ရောဂါလက္ခဏာ ကို ဖြစ် စေ နိုင် တဲ့ အကြောင်းရင်း တွေ ပါ ပဲ ။	20250621_191126	16000	16
recording_20250621_191215.wav	ကျွန်တော် ဒါ တွေ ကို ပြော မှ ဖြစ် မဲ့ အတွက် စိတ် မ ကောင်း ပါ ဘူး ။	20250621_191215	16000	16
recording_20250621_191318.wav	ကျွန်တော် ပြော တာ တွေ ရှင်း ပါ ရဲ့လား ၊ ဒါမှမဟုတ် ခင်ဗျား မှာ မေးခွန်း မေး ရန် ရှိ ပါ သလား ။	20250621_191318	16000	16
recording_20250621_191332.wav	ခင်ဗျား ကျွန်တော့် ကို ထပ်ပြီး ပြောပြ စေ ချင် တဲ့ အကြောင်းအရာ ရှိ ပါ သလား ။	20250621_191332	16000	16
recording_20250621_191344.wav	ခင်ဗျား မှာ ကျန်းမာရေး ပြဿနာ တွေ ရှိ ပါ သလား ။	20250621_191344	16000	16
recording_20250621_191358.wav	ခင်ဗျား မှာ စွဲသောက် နေရ တဲ့ ဆေးဝါး များ ရှိ ပါ သလား ။	20250621_191358	16000	16
recording_20250621_191507.wav	ဟုတ်ကဲ့ ။ ကျွန်တော် သွေးတိုး ရောဂါ အတွက် လိစိနိုပရင် ကို သောက် ပါ တယ်။	20250621_191507	16000	16
recording_20250621_191555.wav	ခင်ဗျား သိ တဲ့အတိုင်း ၊ ခင်ဗျား က ဒီလို ရောဂါလက္ခဏာ တွေ ကြောင့် ကျွန်တော် တို့ ဆီ ရောက်လာ ခဲ့ ပြီး ကျွန်တော် တို့ က အချို့သော စမ်းသပ် စစ်ဆေးမှု များ ကို ပြုလုပ် ပြီး ဖြစ် ပါ တယ် ။	20250621_191555	16000	16
recording_20250621_191614.wav	ခင်ဗျား ကို စမ်းသပ် စစ်ဆေးမှု တွေ ရဲ့ အဖြေ ကို ရှင်းပြ ဖို့ တစ် ယောက် ယောက် ဒီကို ရောက်လာ ခဲ့ ပါ သလား ။	20250621_191614	16000	16
recording_20250621_191710.wav	ခင်ဗျား ရဲ့ ဂျီပီ က ခင်ဗျား ကို ကျွန်တော် တို့ ဆီ သို့ ညွှန်း လိုက် တယ် လို့ ကျွန်တော် နားလည် ထား ပါ တယ် ။	20250621_191710	16000	16
recording_20250621_191738.wav	ဘာကြောင့် ခင်ဗျား ရဲ့ ဂျီပီ က ခင်ဗျား ကို ဒီ ကို ညွှန်း လဲ သိ ပါ သလား ။	20250621_191738	16000	16
recording_20250621_191806.wav	ခင်ဗျား ကို ဒီ ကို ညွှန်း လိုက် တဲ့ အကြောင်းရင်း ကတော့	20250621_191806	16000	16
